,Title,url_name,manganato_url,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,Aize,Amagi Seimaru,Hama-Chon,Heng Sao Tian Ya,Huoli Xiongmao,Jin(Coinmint),Kakei Hidetaka,Komaki Maria,Ma2,Momo (Ii),Ooi Masakazu,Usagi Hoshimi,Yuzushiwo,Action,Adventure,Comedy,Drama,Fantasy,Harem,Josei,Manhua,Martial arts,Mystery,Psychological,Romance,School life,Shoujo,Shounen,Slice of life,Supernatural,Webtoons,Yaoi,wiki_url,wiki_original_publisher,wiki_english_publisher,wiki_magazine,wiki_demographic,wiki_original_run,wiki_volumes,,wiki_action,wiki_adventure,wiki_epic,wiki_mystery,wiki_romantic comedy,wiki_superhero
0,Dead Man Switch,dead_man_switch,https://chapmanganato.com/manga-ru994655,2,2,ongoing,156.3K,46,4.11,Chapter 19,Aize,,,,,Jin(Coinmint),,,,,,,,,,,,,,,,,,,,,,,,,Webtoons,Yaoi,https://en.wikipedia.org/wiki/Dead_Mount_Death_Play,['square enix'],['na yen press'],['young gangan'],['seinen'],"['october 20, 2017', '– present']","['11', '(list of volumes)']",,wiki_action,,,,,
1,The Negative Hero And The Chief Of The Demon Army,the_negative_hero_and_the_chief_of_the_demon_army,https://manganato.com/manga-dr980952,1,5,ongoing,6.9M,1354,4.84,Vol.6 Chapter 33,,,Hama-Chon,,,,,,,,,,,,Adventure,Comedy,Drama,Fantasy,,,,,,,,,,,Slice of life,,,,https://en.wikipedia.org/wiki/Saiyuki_(manga),['enix'],"['aus madman entertainment', 'na tokyopop (formerly)kodansha usa (current)']",['monthly g-fantasy'],['shōnen'],"['1997', '–', '2002']","['9', '(list of volumes)']",,,wiki_adventure,,,,
2,Kindaichi Shonen No Jikenbo - Shin Series,kindaichi_shonen_no_jikenbo_shin_series,https://chapmanganato.com/manga-qz993582,1,5,ongoing,351.7K,26,3.85,Vol.12 Chapter 85: Alchemy Murder Case 2,,Amagi Seimaru,,,,,,,,,,,,,,,Drama,,,,,,Mystery,Psychological,,,,Shounen,,Supernatural,,,https://en.wikipedia.org/wiki/The_Kindaichi_Case_Files,['kodansha'],['na tokyopop'],"['weekly shōnen magazine (october 28, 1992–october 18, 2017)evening (january 23, 2018–february 28, 2023)comic days (april 26, 2023–present)']","['shōnen', ',', 'seinen']","['october 28, 1992', '– present']","['90', '(list of volumes)']",,,,,wiki_mystery,,
3,Situation,situation,https://chapmanganato.com/manga-pi993243,1,4,ongoing,152.5K,18,3.83,Chapter 35: Couples With Gaps,,,,,,,,Komaki Maria,,,,,,,,Comedy,,,,,,,,,Romance,School life,,,Slice of life,,,,https://en.wikipedia.org/wiki/Vagabond_(manga),['kodansha'],"['aus madman entertainment', 'na viz media']",['morning'],['seinen'],"['september 17, 1998', '–', 'may 21, 2015 (on hiatus)']","['37', '(list of volumes)']",,,,wiki_epic,,,
4,Hero Girl × Healer Boy: Touch Or Death,hero_girl_healer_boy_touch_or_death,https://chapmanganato.com/manga-qj993366,1,4,ongoing,1.9M,276,4.39,Vol.3 Chapter 21: Athena's True From!!,,,,,,,,,,,Ooi Masakazu,,,Action,,Comedy,,,,,,,,,,,,Shounen,Slice of life,,,,https://en.wikipedia.org/wiki/Shy_(manga),['akita shoten'],['na yen press'],['weekly shōnen champion'],['shōnen'],"['august 1, 2019', '– present']","['19', '(list of volumes)']",,wiki_action,,,,,wiki_superhero
5,Watashi-Tachi Ga Koisuru Riyuu,watashi_tachi_ga_koisuru_riyuu,https://manganato.com/manga-si995417,1,3,ongoing,19.8K,20,4.2,Vol.1 Chapter 4: Reason 4,,,,,,,,,Ma2,,,,,,,,,,,Josei,,,,,Romance,,,,Slice of life,,,,https://en.wikipedia.org/wiki/Watashi-Tachi_Ga_Koisuru_Riyuu,,,,,,,,,,,,,
6,Library Of Heaven's Path,library_of_heaven_s_path,https://chapmanganato.com/manga-lt988602,2,7,ongoing,29.5M,4701,4.75,Chapter 267,,,,Heng Sao Tian Ya,Huoli Xiongmao,,,,,,,,,Action,Adventure,Comedy,Drama,Fantasy,,,Manhua,Martial arts,,,,,,,,,,,https://en.wikipedia.org/wiki/X_(manga),['kadokawa shoten'],"['aus madman entertainment', 'na viz media']",['monthly asuka'],['shōjo'],"['may 1992', '–', 'march 2003[a]']","['18', '(list of volumes)']",,wiki_action,,,,,
7,Tona-Gura!,tona_gura,https://manganato.com/manga-os965501,1,3,ongoing,570K,28,3.93,Vol.10 Chapter 64: Strongest Rival (Temporarily) Appears,,,,,,,Kakei Hidetaka,,,,,,,,,Comedy,,,,,,,,,Romance,,,Shounen,,,,,https://en.wikipedia.org/wiki/Tona-Gura!,['jive'],,['comic rush'],['shōnen'],"['january 2004', '–', 'july 2011']","['13', '(list of volumes)']",,,,,,wiki_romantic comedy,
8,"The Loyal Knight Killed Me. After Changing To A Yandere, He Is Still Fixated On Me",the_loyal_knight_killed_me_after_changing_to_a_yandere_he_is_still_fixated_on_me,https://chapmanganato.com/manga-qi994317,2,4,ongoing,585.6K,47,3.85,Vol.1 Chapter 5.2,,,,,,,,,,,,Usagi Hoshimi,Yuzushiwo,,,Comedy,,Fantasy,,,,,,,Romance,,Shoujo,,,,,,"https://en.wikipedia.org/wiki/The_Loyal_Knight_Killed_Me._After_Changing_To_A_Yandere,_He_Is_Still_Fixated_On_Me",,,,,,,,,,,,,
9,Martial Peak,martial_peak,https://chapmanganato.com/manga-bn978870,1,6,ongoing,368.6M,65705,4.22,Chapter 3306: Husband Is Gone!,,,,,,,,,,Momo (Ii),,,,Action,Adventure,,,Fantasy,Harem,,,Martial arts,,,,,,Shounen,,,,,https://en.wikipedia.org/wiki/Dragon_Ball_(manga),['shueisha'],"['aus madman entertainment', 'na/uk\n  viz media']",['weekly shōnen jump'],['shōnen'],"['december 3, 1984', '–', 'june 5, 1995']","['42', '(list of volumes)']",,,wiki_adventure,,,,
